years hunting,years hunted last 5,antlered harvest,antlerless harvest,land,land fee,trail cameras,hunt other states,which other state,archery bear,I hunt with the goal of harvesting an antlered deer only.,I do not care if I harvest an antlered or antlerless deer  as long as I get a deer.,archery hunt,archery wmu,archery days,archery antlered harvest,archery antlerless harvest,archery land,archery weapon,archery hunting camp,archery portable treestand,archery permanent treestand,archery urine lure,archery live in wmu,archery miles travelled,hunt opening day,firearm wmu,firearm antlered harvest,firearm antlerless harvest,days scouting,firearm land,Muzzleloader days,archery flintlock days,1st monday,1st tuesday,1st wednesday,1st thursday,1st friday,1st saturday,2nd monday,2nd tuesday,2nd wednesday,2nd thursday,2nd friday,2nd saturday,firearm hunting camp,firearm portable treestand,firearm permanent treestand,firearm urine lure,deer drive,firearm live in wmu,firearm miles travelled,age began,education,current home,start home,mentor,health,archery num,Base Hunting License,Resident Archery,Resident Muzzleloader,Non-resident Archery,Non-resident Muzzleloader,No. Antls Licenses - Resident,No. Antls Licenses - Resident Landowner,No. Antls Licenses for Special Regulations - Resident,No. Antls Licenses - Resident Military,No. Antls Licenses - Resident Disabled Vet,Priv 605,Priv 606,No. Antls Licenses - Non-resident,No. Antls Licenses - Non-resident Landowner,No. DMAP Permits - Resident,No. DMAP Permits - Non-resident,No. DMAP Permit - Resident,No. DMAP Permit - Non-resident
5,5,No,0,public,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,10,public,0,0,Monday,,,Thursday,Friday,Saturday,Monday,,,,,Saturday,No,No,No,No,Yes,Yes,2,12,High school or less,Rural town/village,County/rural,Relative,Excellent (no health problems or injuries),,Resident Junior,,,,,,,,,,,,,,,,,
39,5,No,0,private,No,1,No,,No,Agree,Disagree,Yes,2C,11-15 days,No,0,private,crossbow,No,Yes,No,No,Yes,8,Yes,2C,No,0,10,private,0,10,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,Yes,Yes,8,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),13,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
20,5,No,1,private,No,0,No,,Yes,Strongly Agree,Disagree,Yes,2C,6-10 days,No,0,private,crossbow,No,No,Yes,Yes,Yes,1,Yes,2C,No,1,8,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,Thursday,Friday,Saturday,No,No,Yes,Yes,Yes,Yes,1,8,Some college/vocational training,Country/rural,County/rural,No one,Fair (some health problems or injuries that affect my daily life and mobility),8,Resident Adult,Yes,,,,1,,,,,,,,,,,,
59,5,No,0,public,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,1,1,public,0,0,Monday,Tuesday,,,Friday,Saturday,Monday,,,,,Saturday,No,No,No,No,No,Yes,25,16,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
58,5,No,0,both,No,0,No,,No,,Strongly Agree,Yes,2C,More than 15 days,No,0,private,crossbow,No,No,No,No,Yes,25,Yes,2C,No,0,0,both,0,10,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,,Wednesday,Thursday,Friday,,No,No,No,No,Yes,No,25,12,College graduate,Rural town/village,County/rural,Relative,Good (minor health problems or injuries),20,Resident Senior,,,,,2,,,,,,,,,,,,
7,5,No,0,private,No,2,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,30,private,0,0,Monday,,,Thursday,Friday,Saturday,,Tuesday,,Thursday,,Saturday,No,Yes,No,No,No,Yes,1,10,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
45,5,No,1,public,No,1,No,,No,Neither Agree nor Disagree,Disagree,Yes,2C,6-10 days,No,0,public,crossbow,No,Yes,No,No,Yes,8,Yes,2C,No,0,6,public,0,0,Monday,Tuesday,,,Friday,Saturday,Monday,,,,Friday,Saturday,No,Yes,No,No,No,Yes,8,12,College graduate,Country/rural,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),8,Resident Adult,Yes,,,,1,,,,,,,,,,,,
20,5,No,0,private,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,No,2C,No,0,0,private,0,0,,Tuesday,Wednesday,,,,,,,,,,No,No,Yes,No,No,Yes,0,12,College graduate,Country/rural,Suburban,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,Yes,,,,1,,,,,,,,,,,,
7,5,No,0,private,No,1,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,2,7,private,10,10,Monday,Tuesday,Wednesday,Thursday,,,Monday,,,Thursday,Friday,Saturday,No,Yes,Yes,Yes,No,Yes,12,38,College graduate,Country/rural,County/rural,Relative,Excellent (no health problems or injuries),,Resident Adult,,Yes,,,2,,,,,,,,,,,,
48,5,Yes,1,both,No,0,No,,No,Strongly Disagree,Strongly Agree,Yes,2C,6-10 days,Yes,1,both,crossbow,No,Yes,No,Yes,,15,Yes,2C,Yes,0,1,public,0,0,Monday,,,,,,,,,,,,No,Yes,No,Yes,No,No,15,12,Some college/vocational training,Suburban,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),8,Resident Adult,Yes,,,,1,,,,,,,,,,,,
